Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.418405,9.9999976e-05,0.0,-0.02001963,-0.005043079,0.038120765,0.004116415,0.02495479,0.122501984,0.1978284,3.2701979,0.3999468,0.5780789,-0.9974690121645591,0.23146982768719845,0.7241004708138379,-0.9974690114145628,246.0
2000,1.4173716,9.9999976e-05,0.0,-0.14782712,0.047839146,0.15563154,0.005491117,0.022651993,0.036609527,0.035727624,0.6230024,0.20204788,0.7884542,-0.9997686904783794,0.2285347617454701,0.685538580005979,-0.9997686910087791,259.2567567567568
3000,1.4168977,9.9999976e-05,0.0,-0.2578776,0.052909672,0.18566823,0.0016682632,0.024696255,0.019123986,0.03340772,0.49283803,0.15354764,0.8358309,-1.0006261538750991,0.14113365632089736,0.5578194829398406,-1.0006261529530789,273.5438596491228
4000,1.4166563,9.9999976e-05,0.0,-0.3372459,0.045929827,0.17936562,0.0007333744,0.023175757,0.014210672,0.034540936,0.44771498,0.14151251,0.84888196,-0.9919376639300478,0.08850365420445226,0.44150526341623986,-0.9919376644274667,255.76923076923077
5001,1.4158901,9.999998e-05,0.0,-0.28196585,0.04044854,0.20551422,0.0032497048,0.023408175,0.01302425,0.034773536,0.47019213,0.14763227,0.8483932,-0.9899186760393155,0.07314116248711088,0.4737847799986558,-0.9899186792848418,244.58620689655172
6000,1.4157538,9.9999976e-05,0.0,-0.31194627,0.036992114,0.21866058,0.0028382896,0.023834504,0.011497376,0.032558806,0.4907958,0.16313973,0.8399684,-0.9923359721794822,0.06738042517568946,0.5255197190131331,-0.9923359756503817,248.76612903225808
7000,1.4153539,9.9999976e-05,0.0,-0.30778325,0.03101052,0.1834651,0.0021372524,0.020889042,0.008314234,0.031305104,0.4249675,0.13969678,0.8676608,-0.9852695801854843,0.06886090052686632,0.5580917729660869,-0.9852695791216814,349.896
8001,1.4154909,9.999998e-05,0.0,-0.2956384,0.025508735,0.15605503,0.0017014453,0.023747938,0.0066438694,0.029241104,0.37210733,0.11843468,0.88623655,-0.9747105054250254,0.04679082825516715,0.42551990964557923,-0.9747105053381908,306.5289855072464
9001,1.4154341,9.9999976e-05,0.0,-0.34027213,0.021335533,0.14998205,0.0013753831,0.02234144,0.0063421,0.029767742,0.35634872,0.11423948,0.88919884,-0.9785006908694027,0.038446106850945704,0.378707215750844,-0.978500691415084,281.84090909090907
10000,1.4148917,9.9999976e-05,0.0,-0.28332922,0.018411484,0.15719241,0.0017764568,0.021246754,0.00596854,0.031803247,0.36409196,0.11870816,0.88804376,-0.9688642544751929,0.04037217841250822,0.49650877905078233,-0.968864252827196,326.63
11001,1.4138863,9.999998e-05,0.0,-0.2670641,0.017076867,0.175624,0.0024569815,0.023767024,0.0064199083,0.03268161,0.40503517,0.13841459,0.87504005,-0.9791369936160526,0.048529551664339095,0.5664209724119347,-0.9791369952025578,357.6969696969697
12000,1.414105,9.9999976e-05,0.0,-0.26792872,0.015113971,0.18175438,0.0019881367,0.023859162,0.0068342853,0.030756796,0.40941745,0.13857698,0.87135214,-1.020944987489367,0.059982312816745514,0.7308652763974599,-1.0209449886165134,426.72727272727275
13000,1.4128634,9.9999976e-05,0.0,-0.22330482,0.013592722,0.17039113,0.0012446374,0.025225524,0.0056884433,0.031300984,0.39179093,0.13444649,0.8758646,-0.9782217611775686,0.06153790234765481,0.7427153136573791,-0.9782217619866614,468.44444444444446
14001,1.4119381,9.999998e-05,0.0,-0.22022653,0.012176947,0.1666927,0.0010894232,0.02269423,0.005889884,0.032566655,0.37908947,0.13297418,0.881569,-0.9051718557563504,0.0619471068475832,0.8491409957605356,-0.9051718590889384,544.578125
15000,1.410995,9.9999976e-05,0.0,-0.20762955,0.0102802785,0.17467524,0.0013855912,0.025328595,0.005022105,0.032722045,0.37419552,0.13795415,0.8823667,-0.9195904505938642,0.06427088314449066,0.9085451771107728,-0.9195904530955727,564.1
16001,1.4104509,9.999998e-05,0.0,-0.2310821,0.009484107,0.15874185,0.0012845979,0.026178949,0.0046241446,0.03183382,0.33286276,0.12277438,0.89087385,-0.9122891549319805,0.06236899187012265,0.8602447055435429,-0.9122891553400992,570.2933333333333
17000,1.4095299,9.9999976e-05,0.0,-0.2171974,0.010293691,0.15321782,0.0013819134,0.024755467,0.0049091275,0.03314003,0.31887805,0.11887717,0.8960815,-0.9391706892083996,0.04938998679383932,0.68079211729012,-0.9391706920002912,487.1764705882353
