Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2969802,0.9666979,9.997029e-07,5.0,-0.0073868036,0.002256586,2.1651742e-06,0.00030565966,0.022570172,0.0011611019,0.032522917,0.07061768,0.019185252,0.9879038,-1.269783486496696,0.012288074117774765,0.0,-1.2697834788620779,233.66666666666666
2970801,0.9667051,9.99703e-07,5.0,0.007818294,0.002094832,-6.283714e-05,7.339624e-05,0.024188211,0.0010057284,0.03388014,0.03556167,0.009291825,0.9923059,-0.9318975422647782,0.017067690700059757,0.0,-0.9318975311524724,527.5
2971802,0.9666982,9.997029e-07,5.0,0.008721998,0.0019620075,-2.9789655e-05,7.114874e-05,0.025515834,0.000961583,0.031016622,0.04462147,0.008771491,0.98867625,-1.167779065661307,0.021275340011925437,0.0,-1.1677790545568767,794.5
2972801,0.9666968,9.997028e-07,5.0,0.0008351437,0.002001731,6.974408e-06,0.00014878223,0.021954715,0.000981077,0.029517386,0.047906574,0.011459254,0.9911994,-1.1481610030572886,0.026392048218339268,0.0,-1.148161020916112,1110.0
2973801,0.96670246,9.997028e-07,5.0,0.00087574375,0.002037958,-3.088256e-05,0.0001025,0.02421169,0.0009912462,0.028994264,0.04496213,0.014542146,0.99480885,-0.8580478488462783,0.028924120677402243,0.0,-0.8580478455506477,1376.1666666666667
2974801,0.96671546,9.997027e-07,5.0,-0.0031998758,0.0020364476,-3.6714333e-05,0.00017573181,0.022608386,0.0009821497,0.028031318,0.031366,0.009668813,0.993415,-0.5402099006918434,0.04539732221455779,0.0,-0.5402099009333124,1850.1
2975801,0.9667129,9.997024e-07,5.0,0.008134189,0.0021272912,-1.7087374e-05,0.000102289916,0.025105843,0.0010732671,0.031912975,0.032014802,0.008977346,0.99521524,0.04507850839218008,0.056026324215054046,0.0,0.04507851696650783,2318.25
2976802,0.9667099,9.997023e-07,5.0,0.009423739,0.0022961465,4.441675e-05,0.00021456963,0.024972003,0.0010942465,0.03209816,0.06201417,0.012264238,0.9910036,0.3320940897688918,0.058121078788947976,0.0,0.33209408789737405,2501.875
2977801,0.96671987,9.99702e-07,5.0,0.009514566,0.0024256944,-4.4027423e-05,0.00029096132,0.02476084,0.0011785186,0.033319596,0.040880684,0.010272622,0.988739,0.24291968617490056,0.05865544813527127,0.0,0.24291968030214986,2572.464285714286
2978801,0.9667294,9.997021e-07,5.0,0.010832636,0.002346671,8.068217e-06,0.00027319283,0.02327762,0.0011478163,0.032514352,0.040950283,0.010919409,0.9934943,0.3774613191737899,0.06595410348018049,0.0,0.37746132620290873,2909.5833333333335
2979801,0.96672875,9.997021e-07,5.0,0.012596516,0.0024595107,5.4390748e-05,0.0003529843,0.023628881,0.0011917995,0.03271458,0.049992595,0.014256186,0.99441004,0.3071764599120726,0.06794820843988061,0.0,0.30717646709435364,3036.9803921568628
2980803,0.9667279,9.99702e-07,5.0,0.020918535,0.0024772505,2.3755445e-05,0.00010494228,0.024306942,0.0011592108,0.036045875,0.0364919,0.009833981,0.99114716,0.427937425890093,0.0754272899107491,0.0,0.4279374264273395,3531.90625
2981802,0.96672785,9.997018e-07,5.0,0.01817881,0.0023956397,4.9491406e-05,0.00020425007,0.021526594,0.0011658594,0.034739584,0.059584413,0.013604828,0.99060005,0.3265115559416731,0.07257887926042995,0.0,0.3265115567820685,3353.7586206896553
2982801,0.9667267,9.997018e-07,5.0,0.0093327435,0.0023333633,3.9427705e-05,0.0002125737,0.022524357,0.0010420524,0.033463303,0.11864034,0.019746125,0.98935735,0.212456469859361,0.06806122028185359,0.0,0.2124564805524192,3137.1304347826085
2983802,0.96672857,9.997018e-07,5.0,0.010130795,0.0022547997,3.8287575e-07,0.00021355649,0.022827132,0.0010947932,0.032647736,0.07589975,0.01805627,0.9881737,0.24479834105962558,0.07170640065763749,0.0,0.24479833821880187,3255.4444444444443
2984802,0.9667299,9.997018e-07,5.0,0.008967179,0.0022817815,-7.410604e-06,0.00010436056,0.024713062,0.0011680457,0.033002194,0.048738882,0.011034131,0.99178183,0.31693895601741434,0.07608554535787941,0.0,0.31693895959870005,3562.5
2985801,0.9667243,9.997016e-07,5.0,0.020459225,0.0024873056,6.572539e-05,0.00010107472,0.025188204,0.001188592,0.0352872,0.055214707,0.01248177,0.9884634,0.33970424658417125,0.06805343447922496,0.0,0.33970424388483206,2962.818181818182
2986801,0.9667254,9.997013e-07,5.0,0.020544888,0.0024752638,2.847266e-05,0.00025988775,0.024088608,0.0011512244,0.035826024,0.06992041,0.016757429,0.987763,0.3334530987998402,0.0656271311145798,0.0,0.33345310059507394,2829.090909090909
2987801,0.96672565,9.997012e-07,5.0,0.02043739,0.0024292204,-4.188577e-05,0.00015581513,0.02352665,0.0011547487,0.03481757,0.049764868,0.013167418,0.99135125,0.5308860903127369,0.0704833338214402,0.0,0.5308860862867588,2950.6666666666665
2988802,0.9667205,9.99701e-07,5.0,0.017541803,0.0023558864,-4.9021364e-05,0.00018685209,0.024736762,0.0011126846,0.035789832,0.033383653,0.01043828,0.9932525,0.466119337206412,0.07131512068120244,0.0,0.46611933800756156,3045.846153846154
2989801,0.9667154,9.997011e-07,5.0,0.021735322,0.0024016567,-9.0863075e-05,0.00012734123,0.022269635,0.0011972189,0.03568241,0.03766876,0.01039693,0.99291265,0.5094996172366437,0.0651693275592859,0.0,0.5094996127966861,2690.25
2990801,0.9667174,9.997011e-07,5.0,0.024788404,0.002324058,-6.907716e-05,8.550743e-05,0.02240516,0.0011571886,0.0341144,0.042833075,0.007848843,0.98984754,0.6734220002334041,0.07134005327194852,0.0,0.6734219958395914,3009.0666666666666
2991801,0.9667115,9.997011e-07,5.0,0.014244493,0.002191762,1.8798537e-05,0.0001148032,0.023248028,0.0010662129,0.03195841,0.034246705,0.008661035,0.99204034,0.35446075528099236,0.0683593488425859,0.0,0.35446075884291794,2912.3809523809523
2992801,0.96671546,9.997009e-07,5.0,0.015937338,0.002305563,6.580827e-05,8.519408e-05,0.024963658,0.0011385651,0.032724787,0.02665428,0.007432237,0.9942944,0.641068055610352,0.07081536290610933,0.0,0.6410680565668447,2957.722222222222
2993801,0.96670765,9.997005e-07,5.0,0.017921863,0.002406053,-3.6083755e-05,0.00016679203,0.023781607,0.0012030712,0.034150325,0.04219961,0.009038163,0.9907903,0.5070400149184758,0.06785251412750973,0.0,0.5070400143686687,2837.2258064516127
2994801,0.966697,9.997004e-07,5.0,0.015708406,0.0022466192,1.208208e-05,7.39843e-05,0.024622228,0.00106221,0.03231343,0.036396462,0.009058743,0.9914434,0.30466382467438097,0.07285294723641571,0.0,0.3046638210212097,3099.7619047619046
2995801,0.9666972,9.997004e-07,5.0,0.021808226,0.0022194735,2.6857762e-05,6.169987e-05,0.022706393,0.0010682361,0.032860227,0.04217835,0.010269963,0.9938917,0.5991313011102951,0.07271446990220014,0.0,0.5991313016584725,3091.8888888888887
2996801,0.966693,9.997003e-07,5.0,0.020944627,0.0022210695,4.0594092e-05,0.0001615694,0.024939127,0.0011174495,0.03367836,0.06241355,0.015271154,0.9917848,0.41527975252120086,0.06697971104294993,0.0,0.41527975414891144,2843.8
2997801,0.96669275,9.997003e-07,5.0,0.024817448,0.002321887,-1.7496339e-05,5.238278e-05,0.022690212,0.0011768732,0.03426823,0.07047646,0.01597299,0.99105644,0.6343954826497242,0.07584699435348298,0.0,0.6343954822821695,3192.909090909091
2998801,0.9666943,9.997002e-07,5.0,0.016804447,0.0023413429,4.4551172e-05,0.0001616468,0.023132447,0.0011185149,0.032920912,0.056494858,0.014213912,0.98708004,0.38092318778690243,0.07276980427122907,0.0,0.38092318999768526,3085.2
2999801,0.96669364,9.997002e-07,5.0,0.022672512,0.002352257,-5.438702e-05,7.5597745e-05,0.023488495,0.0011128258,0.032663472,0.066149816,0.016048605,0.98280096,0.6464936505301833,0.07015165515411119,0.0,0.6464936504288992,3003.8064516129034
3000801,0.9666969,9.997002e-07,5.0,0.013761264,0.0022803748,1.0845031e-05,0.00018815845,0.022823073,0.001088198,0.03230884,0.03706817,0.010050346,0.9914652,0.22489453365150522,0.071280443162488,0.0,0.22489453977039114,2958.318181818182
3001801,0.96670127,9.997001e-07,5.0,0.017101783,0.0023722968,-4.72676e-05,0.00014955309,0.023800058,0.0011310974,0.032959573,0.053830385,0.012327137,0.9855315,0.518550280162599,0.07112083822197747,0.0,0.5185502775429177,3008.08
3002802,0.9666981,9.996999e-07,5.0,0.00084787724,0.0021886432,-6.370767e-05,0.00027101787,0.02282787,0.0010110249,0.02917234,0.045059554,0.010433825,0.9919149,-0.024753896266230622,0.05702695840510488,0.0,-0.024753897247214156,2393.5555555555557
3003802,0.96669626,9.996995e-07,5.0,0.0073774043,0.0020283507,-7.441657e-05,0.00019008915,0.022220524,0.0009837348,0.029247552,0.03054555,0.0076428354,0.9941642,0.49560945328802947,0.0719448198421895,0.0,0.4956094569408792,3178.157894736842
3004802,0.9666924,9.996994e-07,5.0,0.011039675,0.0022341888,-3.7026923e-05,0.00022289602,0.024712447,0.001058055,0.031117963,0.0663309,0.015373691,0.9936362,0.3742316999351505,0.06414371756825578,0.0,0.3742316990033313,2776.8846153846152
3005801,0.966684,9.996995e-07,5.0,0.0143135665,0.002241667,-2.2275955e-05,0.00011050578,0.026574386,0.0010779812,0.03128051,0.046293676,0.01114742,0.98995125,0.5615820941661479,0.07324363322446256,0.0,0.561582087611396,3370.4761904761904
3006801,0.9666795,9.996993e-07,5.0,0.009450185,0.0022437721,-4.653245e-05,0.00018516378,0.023417737,0.0010469302,0.029904263,0.04578744,0.011451768,0.9853455,0.1281053109005033,0.06761683568711979,0.0,0.12810530436157277,3015.740740740741
3007801,0.966688,9.996993e-07,5.0,0.018368041,0.0023689917,-5.004101e-06,0.00014779277,0.022363795,0.0012080608,0.034749657,0.036828324,0.010252403,0.9925108,0.6053811630434346,0.07649203256274902,0.0,0.6053811611187195,3431.259259259259
3008802,0.96669585,9.996992e-07,5.0,0.01854012,0.0024893493,-1.8901001e-07,0.00014472546,0.024851745,0.0011832602,0.03381436,0.043864053,0.009263446,0.98919266,0.47013441437468373,0.07186913325949718,0.0,0.47013441130830225,3199.875
3009802,0.9666917,9.996992e-07,5.0,0.021553025,0.002441001,1.0037958e-05,7.280841e-05,0.024072915,0.0011130536,0.03344863,0.040476948,0.010007023,0.99018484,0.5941765506656969,0.07523930958996061,0.0,0.594176545092261,3357.423076923077
3010801,0.9666764,9.996992e-07,5.0,0.021590319,0.0023293332,1.231373e-05,8.225624e-05,0.023642631,0.0011309492,0.034212783,0.04235619,0.010745549,0.99352145,0.4658543626692814,0.07674879355870776,0.0,0.4658543624117476,3399.4210526315787
3011802,0.9666751,9.99699e-07,5.0,0.018745407,0.0024082628,6.415724e-05,0.00024772008,0.022000287,0.0012249746,0.035761297,0.06305607,0.013716266,0.9873468,0.15180523610181426,0.06737733527176804,0.0,0.15180524080361044,2908.1935483870966
3012802,0.9666968,9.996986e-07,5.0,0.015098962,0.0023007514,2.2801014e-05,0.0001796653,0.02478079,0.0010985867,0.0336875,0.10104842,0.0139597,0.9844907,0.3262516257727111,0.0705522389599355,0.0,0.3262516293926332,2942.4
3013801,0.96670264,9.996986e-07,5.0,0.017164715,0.0023626878,8.816559e-07,0.00017499788,0.024351148,0.0011134358,0.033840254,0.060577463,0.014815644,0.9908454,0.48965373733572604,0.07394108346576986,0.0,0.48965374067139766,3246.939393939394
3014801,0.9667101,9.996985e-07,5.0,0.018232811,0.0022832106,-2.2770168e-05,0.000164029,0.022795543,0.001120036,0.0341947,0.048058808,0.01149529,0.99014235,0.5947281180285174,0.0713662205257256,0.0,0.5947281154509457,2983.576923076923
3015802,0.9667131,9.996985e-07,5.0,0.025176788,0.0023158607,-4.3917076e-05,4.8592025e-05,0.023736257,0.0011561571,0.03561924,0.045347065,0.010394219,0.9880364,0.5475828976238214,0.07813505467908856,0.0,0.5475829058746181,3357.8571428571427
3016801,0.96672326,9.996984e-07,5.0,0.020102588,0.0023742528,-2.1618767e-05,0.00013007679,0.022769824,0.0011130167,0.03276768,0.045216005,0.010234745,0.9917184,0.5004919831781839,0.06717115884991169,0.0,0.5004919793520098,2873.1666666666665
3017801,0.966733,9.996983e-07,5.0,0.018954119,0.0023170828,5.6341043e-05,0.000114720315,0.022245567,0.001123165,0.033263113,0.050679013,0.013559525,0.9893301,0.543325035759608,0.07021136065911075,0.0,0.5433250321069371,2853.7916666666665
3018801,0.96673214,9.996983e-07,5.0,0.0137046445,0.0022303404,-2.3242286e-05,0.00025821553,0.0240167,0.0011153328,0.032416526,0.033755705,0.008390056,0.9926288,0.2749137183554628,0.06759157853253607,0.0,0.27491372272025316,2830.6129032258063
3019801,0.966734,9.996982e-07,5.0,0.01568577,0.0023011137,-2.5924188e-05,9.183927e-05,0.022928862,0.0011246458,0.033157356,0.06939947,0.017044554,0.99251074,0.7588172641654738,0.07661087729017406,0.0,0.7588172612799142,3356.4444444444443
3020801,0.96673477,9.996982e-07,5.0,0.020076688,0.0022212563,-5.1325747e-05,0.000109611894,0.02115003,0.0010710537,0.032318704,0.05016343,0.015604351,0.99239933,0.6075873170229897,0.07244003923066582,0.0,0.607587315519016,3053.4583333333335
3021802,0.96672887,9.99698e-07,5.0,0.020364743,0.0022899422,-6.5551896e-05,0.0001768265,0.025353713,0.0010773836,0.03252937,0.08662994,0.023273453,0.99323976,0.42110626857014943,0.0712841290638387,0.0,0.4211062668657974,3020.242424242424
3022801,0.9667292,9.996976e-07,5.0,0.007522184,0.002301027,-1.0419256e-05,0.00020633303,0.024027022,0.0011473974,0.032227278,0.07600872,0.02099289,0.985121,0.28404153875186844,0.06817925224556044,0.0,0.2840415388080734,2964.4333333333334
3023801,0.966726,9.996976e-07,5.0,0.0108745815,0.0022639302,5.4596614e-05,0.00015171118,0.021377206,0.0010839573,0.032421228,0.056414526,0.016729923,0.9887739,0.361788818789646,0.06714014084485825,0.0,0.36178881998934087,2922.56
