Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
3293741,1.1412319,9.996706e-06,0.0,-0.0936475,0.0058967164,-1.0288959647126892,0.015911451782974262,-1.028895966814095,71.3914373088685,0.027051145,0.023141706,0.035743576,0.019343188
3294741,1.1413262,9.996706e-06,0.0,-0.2966635,0.010263049,-1.028787866054111,0.020787752003182985,-1.0287878655504252,120.2095588235294,0.011946719,0.024957065,0.006999879,0.01874358
3295741,1.1413171,9.996705e-06,0.0,-0.33745754,0.011318271,-1.0185257436065036,0.020822250136440904,-1.0185257420139697,164.76763485477179,0.008769633,0.025180405,0.005711162,0.018698037
3296741,1.1412945,9.996703e-06,0.0,-0.38371706,0.011384292,-1.0255452195955772,0.017061699513459996,-1.0255452218142007,148.5265306122449,0.008346111,0.022507139,0.005211886,0.01918987
3297741,1.1413101,9.996702e-06,0.0,-0.34424478,0.010566634,-1.027514238160317,0.01649562794470209,-1.0275142331467475,165.484375,0.006939662,0.023910392,0.0045985263,0.02035284
3298741,1.1412969,9.996701e-06,0.0,-0.31043637,0.009876951,-1.0285789252213373,0.019248216603772395,-1.0285789249365473,217.92899408284023,0.0057494314,0.026770808,0.004124108,0.021923643
3299741,1.1412354,9.996701e-06,0.0,-0.27685243,0.009508794,-1.0293136217619097,0.020984110283301917,-1.0293136239084846,244.8211382113821,0.005882423,0.024741217,0.003930443,0.020852994
3300741,1.14116,9.996699e-06,0.0,-0.23639792,0.008598509,-1.0068262474427077,0.02583726670715318,-1.0068262422597962,328.90909090909093,0.005069446,0.027844459,0.0036553966,0.023826174
3301742,1.1411865,9.996699e-06,0.0,-0.19202533,0.007990305,-0.9267951845179941,0.031273517659275045,-0.9267951830269807,411.9154929577465,0.0041132607,0.024655705,0.003241996,0.023181213
3302742,1.1411368,9.996698e-06,0.0,-0.16227563,0.0074296077,-0.9283540126037632,0.03127971205635574,-0.9283540207988935,447.32758620689657,0.0030860673,0.021975666,0.0030529117,0.024010217
3303741,1.1410979,9.996698e-06,0.0,-0.11913833,0.0071239797,-0.7423353673212449,0.048763048329139844,-0.7423353666010921,750.9807692307693,0.002872215,0.023645326,0.0030613604,0.023616679
3304741,1.1410284,9.996696e-06,0.0,-0.08919051,0.006824218,-0.5952709429590369,0.045578888692562616,-0.5952709501804379,702.4193548387096,0.0018024734,0.022945693,0.0028714624,0.024570934
3305741,1.1410022,9.996695e-06,0.0,-0.084895246,0.0065228962,-0.6866480324401242,0.04447166969060033,-0.686648033982347,715.8392857142857,0.0023957125,0.02277961,0.0027423021,0.024272801
3306741,1.1409312,9.996695e-06,0.0,-0.064372115,0.0060988707,-0.3625196055957834,0.05514865895626523,-0.36251961359380597,958.5625,0.0016978639,0.023402339,0.0026528714,0.024787873
3307741,1.1409248,9.996692e-06,0.0,-0.04406287,0.0058154417,-0.48158293869205554,0.05861024021156012,-0.4815829395979287,1009.3870967741935,0.0016346661,0.024815971,0.0026579362,0.02443061
3308741,1.140958,9.996691e-06,0.0,-0.027508177,0.0055671623,-0.4037240321486024,0.06731591510205445,-0.4037240252255679,1216.030303030303,0.0014906372,0.019802585,0.0024841998,0.024273016
3309742,1.1409754,9.99669e-06,0.0,-0.02762649,0.0053930664,-0.3931293834546176,0.052618471949937795,-0.39312939416266973,968.3095238095239,0.0014813793,0.021270968,0.0025594237,0.024455717
3310741,1.14098,9.996689e-06,0.0,-0.030578012,0.0051874015,-0.5407582510927378,0.044023479188814066,-0.5407582569338342,796.4418604651163,0.0011235413,0.02445788,0.0024768352,0.025767835
3311741,1.1409614,9.996687e-06,0.0,-0.009020048,0.0050995676,-0.213069987351236,0.050857578471410446,-0.2130699886665817,962.5384615384615,0.0009085071,0.026183652,0.0025169093,0.024272751
3312741,1.1408405,9.996687e-06,0.0,-0.0021434557,0.0049725794,-0.11541042841460747,0.06037153901278918,-0.11541043015708148,1155.764705882353,0.0012865557,0.022751058,0.0025307685,0.023691252
3313742,1.1407499,9.9966865e-06,0.0,0.004328955,0.00529198,-0.17266683227539625,0.0558383977703945,-0.17266682635981345,1097.5116279069769,0.001112192,0.02114308,0.0025438173,0.023409354
3314741,1.1406863,9.996685e-06,0.0,-0.0040756315,0.005211212,-0.184640279578889,0.05135414275864605,-0.1846402689418074,980.975,0.0013555761,0.024795027,0.0025894511,0.023106918
3315741,1.1406633,9.996686e-06,0.0,0.0048294077,0.0051721865,-0.01648603071268607,0.056038571098778286,-0.016486015706604462,1115.7941176470588,0.0006746733,0.019339327,0.002435128,0.024326323
3316741,1.1407032,9.996686e-06,0.0,0.014921135,0.0051861936,0.09615969965628157,0.062056884202106366,0.09615969690983078,1185.7941176470588,0.0007895556,0.024330726,0.0025265007,0.024420645
3317741,1.1406555,9.996684e-06,0.0,0.0035376276,0.00517856,-0.2122556783921182,0.05119084702443054,-0.2122556824346412,967.6382978723404,0.0014377424,0.024488237,0.0024233577,0.023620442
3318741,1.1406674,9.996683e-06,0.0,0.010827294,0.005135297,0.05728741639806587,0.057452154235687815,0.05728741619500817,1119.027027027027,0.00064417993,0.020296672,0.002435396,0.024154356
3319742,1.1406428,9.996681e-06,0.0,0.0062306733,0.004942021,-0.1439191696117632,0.048150935559533536,-0.1439191676769528,948.0322580645161,0.0007318672,0.021825464,0.002386061,0.023655139
3320742,1.1406171,9.996679e-06,0.0,0.009628764,0.0048862165,-0.04073863651634694,0.05069101110765165,-0.04073863547828399,1002.4146341463414,0.00069385604,0.024409033,0.0024918218,0.025403226
3321742,1.1406454,9.996676e-06,0.0,0.011298336,0.004947795,-0.07010426915076096,0.04902055997930196,-0.07010427051074389,938.9166666666666,0.000905799,0.022471074,0.0024256948,0.023907453
3322741,1.1406918,9.996676e-06,0.0,0.00681644,0.0047884253,-0.05201714322301996,0.04721130677353358,-0.05201714604359209,954.125,0.0007642295,0.022026144,0.0022313388,0.025233995
3323741,1.1407647,9.996676e-06,0.0,0.0071657575,0.004710301,-0.09547275626648437,0.05056988133583218,-0.0954727602914969,1043.0588235294117,0.00072773587,0.021891419,0.0023005079,0.025067113
3324741,1.1408116,9.996675e-06,0.0,0.0007690269,0.004554355,-0.21229675837469497,0.04448741056295412,-0.21229675620593352,909.9677419354839,0.0007592847,0.024650965,0.0021763477,0.025294758
3325741,1.1408426,9.996673e-06,0.0,0.014717494,0.004589536,0.0866705468416469,0.05235884940581551,0.08667053744995046,1127.6190476190477,0.0006034518,0.024914334,0.0022320924,0.0242632
3326741,1.1408355,9.996673e-06,0.0,0.01057576,0.00452162,-0.18577185370369803,0.045539147792181045,-0.18577185346426067,953.0769230769231,0.00039474815,0.023396276,0.002225956,0.024600806
3327741,1.1407303,9.996672e-06,0.0,0.01153308,0.004488956,-0.06137314927015853,0.04695672351434561,-0.06137314840908315,1017.8857142857142,0.0005185711,0.026712928,0.002171206,0.025272742
3328741,1.1406459,9.996671e-06,0.0,0.0090132225,0.0045672413,-0.13813174881959436,0.04705138323155956,-0.13813175480828635,1044.2,0.0010203992,0.02396503,0.002138522,0.024799885
3329741,1.1406143,9.996671e-06,0.0,0.012450261,0.004403505,0.017852479008566166,0.049450773528819394,0.017852481533545017,1121.6969696969697,0.0012588588,0.022123903,0.0021282318,0.02539988
3330742,1.1406124,9.996669e-06,0.0,0.0064031016,0.0043052346,-0.15511440232949097,0.04895240409387043,-0.1551144014847515,1094.975,0.00082306296,0.023366472,0.0020535104,0.024643097
3331741,1.1405675,9.996669e-06,0.0,0.0004745072,0.004294227,-0.27441684800809213,0.03988659913117838,-0.2744168457635792,893.2682926829268,0.001103529,0.025122099,0.002134726,0.023947543
3332741,1.1405632,9.996669e-06,0.0,0.012596306,0.0045276075,0.01677517449813119,0.04985814523145867,0.016775172192178247,1138.9,0.0004662933,0.022359982,0.0021620737,0.024993405
3333741,1.1404973,9.996666e-06,0.0,0.01353301,0.004726483,-0.03874608756712405,0.04633410866721533,-0.03874609590677746,1026.38,0.001042226,0.02641081,0.002227048,0.02423348
3334741,1.140437,9.9966655e-06,0.0,0.012210069,0.004450744,0.0548489805727773,0.052994075753044205,0.054848978840920735,1205.4642857142858,0.0008449488,0.021767164,0.0021252758,0.024244877
3335741,1.1403664,9.9966655e-06,0.0,0.0021872113,0.0045962525,-0.30382964040281396,0.03991260330535864,-0.3038296371303916,863.3947368421053,0.00083304674,0.02240101,0.0023133953,0.022974972
3336741,1.1403093,9.996664e-06,0.0,0.00075571047,0.004565172,-0.19939059627843866,0.04122066859884235,-0.19939058867123705,896.3076923076923,0.0007596303,0.025132338,0.002275467,0.023215946
3337741,1.140231,9.996662e-06,0.0,0.01434481,0.004513601,-0.04673224185611807,0.046980348591827543,-0.04673224043879755,1036.2631578947369,0.0009077288,0.025618516,0.002223445,0.024163974
3338741,1.1401324,9.996662e-06,0.0,0.016227053,0.0047698887,0.14139694060722832,0.05124110979377292,0.14139694490746663,1107.84,0.0003485158,0.025969356,0.0022460658,0.02343125
3339742,1.1401291,9.99666e-06,0.0,0.020718122,0.0046788007,0.030755440695377598,0.049829557732612426,0.03075543842927682,1053.2571428571428,0.0006197109,0.022497306,0.0022538647,0.02364634
3340741,1.1401881,9.996658e-06,0.0,0.019448211,0.004534549,0.07035425279508882,0.0553413280688871,0.07035426385608819,1218.5384615384614,0.0007336767,0.022000654,0.0021358782,0.022830265
3341741,1.1401854,9.996658e-06,0.0,0.01748169,0.0044479202,-0.006152905458853079,0.05073506407027777,-0.006152906166817882,1091.5897435897436,0.0009626624,0.023603082,0.0021492771,0.023823868
3342741,1.1402061,9.996657e-06,0.0,0.027537232,0.0043376717,0.2691828625142484,0.05998702603553991,0.2691828640187064,1318.8055555555557,0.00065418216,0.025182214,0.0021734932,0.02432412
3343741,1.1402612,9.996656e-06,0.0,0.013953633,0.0042558033,-0.021551653129371025,0.04133056494174525,-0.021551647108729515,914.8974358974359,0.00039658742,0.021397727,0.0020933885,0.023728322
3344741,1.1402917,9.9966555e-06,0.0,0.008393186,0.004124337,-0.13747823321778255,0.040748266055934915,-0.1374782329600006,915.3157894736842,0.00046223326,0.026918875,0.0020313505,0.024385007
3345742,1.1402684,9.996655e-06,0.0,0.011906727,0.0042599803,-0.1657279908803303,0.040942043063185385,-0.16572798256806923,926.2926829268292,0.00066931586,0.025598241,0.0021447148,0.022801608
3346742,1.140208,9.996655e-06,0.0,0.017455172,0.0042604287,0.049856443176788556,0.04595349438337458,0.049856442292130286,1021.027027027027,0.000501531,0.021698646,0.0022343195,0.023935521
3347741,1.1401216,9.996655e-06,0.0,0.024929972,0.0042876625,0.03612606088790926,0.051743762491241796,0.036126069585171616,1119.6875,0.00048108754,0.023457695,0.0021720906,0.02381818
3348741,1.1401086,9.996651e-06,0.0,0.0076990407,0.0043224515,-0.14383628130772041,0.043004852697900414,-0.14383628029500742,942.4067796610169,0.0008450169,0.022072973,0.002266578,0.022865409
3349742,1.1402365,9.996651e-06,0.0,0.019617315,0.0043483344,0.1631621385749895,0.054066053182949596,0.1631621380291128,1181.3478260869565,0.0005553946,0.0211466,0.0021019457,0.022536265
3350742,1.140237,9.996649e-06,0.0,0.018452061,0.004419276,-0.058641651362489465,0.046187968105938206,-0.058641654699259915,1019.695652173913,0.00069100404,0.021026198,0.0021966042,0.023086075
3351742,1.1401925,9.996647e-06,0.0,0.017280644,0.0042938944,-0.026915061408592584,0.04370142426188594,-0.026915066129225954,976.0263157894736,0.0005809625,0.02245082,0.002208308,0.023407761
3352742,1.1401587,9.996647e-06,0.0,0.017159877,0.004323776,0.015971578905891598,0.04807320714021581,0.015971579378901514,1081.090909090909,0.0008040065,0.023781296,0.0021146098,0.02238106
3353741,1.140115,9.996646e-06,0.0,0.01787814,0.0044649197,0.08054993461178711,0.04995695499327177,0.08054994040594925,1114.974358974359,0.0005575575,0.02057171,0.0021834827,0.023551473
3354741,1.1400843,9.996644e-06,0.0,0.01962373,0.0043124533,0.02256619731754957,0.04979484054395774,0.02256620443711969,1085.9166666666667,0.00039848298,0.023680106,0.0021770687,0.024104606
3355741,1.1400754,9.996644e-06,0.0,0.021799298,0.004390709,-0.06491056084705633,0.04982346766337287,-0.06491055951117986,1088.375,0.0008971463,0.024654318,0.0020961927,0.023156684
3356741,1.1401058,9.996644e-06,0.0,0.022752345,0.0044330126,0.10492088942826444,0.05154401766878098,0.10492088984262615,1144.3953488372092,0.00042742462,0.023862831,0.002071203,0.023762058
3357742,1.1402087,9.996642e-06,0.0,0.0070324293,0.00452766,-0.15510269145888742,0.040282367463482335,-0.15510268613371755,909.8222222222222,0.0010871938,0.024522793,0.0021539852,0.023550246
3358741,1.1403276,9.996641e-06,0.0,0.0045297104,0.004724299,-0.1977533465748799,0.03765041085141494,-0.19775334370524406,851.5813953488372,0.00054907874,0.02520867,0.002167885,0.02422151
3359741,1.140371,9.996641e-06,0.0,0.0066207414,0.0043201265,-0.331560757700228,0.03455527426637206,-0.3315607688610557,775.4054054054054,0.00080258935,0.024126204,0.0020068306,0.023852592
3360741,1.1403955,9.99664e-06,0.0,0.017135434,0.0042458144,0.01519927043745366,0.04601301819247265,0.015199269544855981,1047.4358974358975,0.0005299901,0.023468345,0.0021610914,0.02373425
3361741,1.1403475,9.996639e-06,0.0,0.018705808,0.0043038195,0.0920569466957204,0.0480268969811732,0.09205694954212995,1073.85,0.0005395652,0.02360428,0.0020948,0.023683285
3362741,1.1403843,9.996637e-06,0.0,0.011581574,0.0041950466,-0.19106711031742413,0.04313528946147779,-0.19106711017349184,1031.3783783783783,0.00042837934,0.021785157,0.0019858554,0.025303349
3363741,1.1404302,9.9966355e-06,0.0,0.031145437,0.004225003,0.30825861238408836,0.05658338794251904,0.3082586194272563,1333.36,0.00044866375,0.024000887,0.002163398,0.024218682
3364742,1.1404943,9.996636e-06,0.0,0.023243228,0.0042840657,0.14544005501090357,0.05112052146021439,0.1454400521692531,1130.6521739130435,0.00052388204,0.024392331,0.0021271538,0.024044339
3365741,1.1405137,9.9966355e-06,0.0,0.018788258,0.004427271,-0.029985490059139343,0.043647298329543865,-0.02998548709191201,973.3414634146342,0.000539878,0.023250055,0.002198507,0.023888119
3366741,1.1405015,9.996632e-06,0.0,0.011578033,0.0043193935,-0.09561311616312845,0.04160116146418399,-0.09561311787139683,948.8,0.0007420908,0.021806763,0.0020146938,0.023901533
3367741,1.1405164,9.996632e-06,0.0,0.020358214,0.0043341904,-0.08723474467365906,0.051234244294705446,-0.08723473285780631,1165.2413793103449,0.00073757407,0.021949083,0.002068064,0.0241155
3368741,1.1404979,9.996632e-06,0.0,0.022715427,0.0041817115,0.13632126322816918,0.049188267240286666,0.13632126336636843,1125.3333333333333,0.00040841041,0.022567974,0.00204409,0.024341961
3369741,1.1404954,9.996628e-06,0.0,0.025617002,0.004021346,0.09399532590759918,0.049582038022202964,0.09399532949241293,1137.1463414634147,0.00057667703,0.025211997,0.0020401936,0.023184557
3370741,1.1404672,9.996628e-06,0.0,0.020884218,0.0041529685,0.0607945083219143,0.04407431488431504,0.060794497478440006,1022.0217391304348,0.00059765,0.018444268,0.002061663,0.02452583
3371742,1.1404198,9.996628e-06,0.0,0.019610077,0.0041450425,-0.059482007165570394,0.04213205255218781,-0.059481997209984615,964.825,0.00065348647,0.022070434,0.00209971,0.023242012
3372741,1.1403939,9.996628e-06,0.0,-0.0030427817,0.004111166,-0.31900718041350123,0.03536257484154974,-0.3190071755215962,820.4042553191489,0.0010021355,0.02470275,0.0020070162,0.023885373
3373741,1.1404105,9.996626e-06,0.0,0.01245873,0.004043909,-0.12209264419322029,0.041869607029101724,-0.1220926356530138,1009.6969696969697,0.00036640163,0.02090983,0.0019675754,0.024996711
3374742,1.1403588,9.996626e-06,0.0,0.007967745,0.004137718,-0.1345070028075593,0.04284541023509136,-0.1345070004157642,1009.421052631579,0.00074315217,0.021657612,0.0020186529,0.02524306
3375741,1.1402683,9.996625e-06,0.0,0.01942957,0.0040507014,0.05637107422808185,0.046940023507214275,0.056371072486287976,1146.0869565217392,0.00025621825,0.019810153,0.0019148553,0.025997214
3376741,1.1402903,9.996624e-06,0.0,0.010324815,0.0040043173,-0.09474387372587402,0.04446877677908687,-0.09474387367271761,1066.953488372093,0.000763798,0.024493203,0.0018850092,0.025975527
3377741,1.1402773,9.996623e-06,0.0,0.023378978,0.0040131994,0.2537327040089832,0.05592608016181307,0.2537327010582876,1375.576923076923,0.00051052845,0.025076302,0.0019736309,0.025376633
3378741,1.1402366,9.996621e-06,0.0,0.026829569,0.0040407307,0.27659889720962383,0.05277342825429514,0.2765989055784617,1319.9714285714285,0.00031888564,0.024740737,0.0020180682,0.025571551
3379741,1.1402436,9.99662e-06,0.0,0.022038657,0.004106988,0.1865114510326546,0.051373550995776895,0.18651144926317378,1226.138888888889,0.00037151625,0.02442978,0.0019821683,0.026500916
3380741,1.14025,9.996619e-06,0.0,0.01837108,0.003989403,0.25865398661175276,0.05639716494595632,0.2586539897123767,1326.6,0.00054644764,0.023030814,0.0019878172,0.026403196
3381741,1.1401386,9.996619e-06,0.0,0.018876651,0.0040588635,0.11426095007901985,0.0501170334039041,0.11426095489417434,1200.423076923077,0.00024987367,0.024458565,0.0019847087,0.02575275
3382741,1.1401222,9.996617e-06,0.0,0.029387387,0.004222931,0.2442346938462861,0.05435366298170817,0.2442347000083104,1301.878787878788,0.000516797,0.021567669,0.002064828,0.025031295
3383741,1.1400814,9.9966155e-06,0.0,0.028050736,0.004209253,0.12758650196760316,0.05585144970551013,0.12758651289258555,1344.0,0.0005867111,0.023740567,0.0019725105,0.025324069
3384741,1.1400317,9.9966155e-06,0.0,0.019767389,0.0039528925,0.018305818486528312,0.047987119594931994,0.01830581678341707,1166.5,0.00053596456,0.022469657,0.0019576447,0.025679825
3385742,1.1400335,9.996614e-06,0.0,0.027769577,0.004053677,0.27150105709413763,0.05841720655793324,0.27150105675450403,1449.96,0.00051111385,0.022185627,0.0020212505,0.025713492
3386741,1.1399546,9.996614e-06,0.0,0.01083978,0.0037843995,-0.029585076630974073,0.042327351632411594,-0.0295850818974979,992.6,0.00072202727,0.024997327,0.001992861,0.0266051
3387742,1.1398909,9.996613e-06,0.0,0.006209266,0.0040423158,-0.24773905422817302,0.04066561662291765,-0.24773905609923455,985.1842105263158,0.00088900357,0.02475909,0.0020581188,0.027125426
3388742,1.1398982,9.996612e-06,0.0,0.0026690096,0.004133192,-0.04993125144622019,0.041397161602569545,-0.049931251288975305,989.0,0.0006766187,0.026102204,0.0020548094,0.027062677
3389741,1.1398542,9.996611e-06,0.0,0.02242286,0.00417423,0.07664860269067457,0.05261890204975572,0.07664860377098738,1257.8974358974358,0.00044336834,0.02520065,0.0021306023,0.027624212
3390741,1.1397381,9.996612e-06,0.0,0.021943605,0.0042046867,0.18885073832616736,0.056659222194597264,0.1888507352492577,1296.3703703703704,0.0005123781,0.024016261,0.002100071,0.026399003
3391741,1.13975,9.99661e-06,0.0,0.031949103,0.0043185703,0.22472973970882146,0.057447620472745396,0.22472974308553356,1303.1153846153845,0.00046053776,0.025725808,0.0020622332,0.026229786
3392741,1.1398267,9.996608e-06,0.0,0.03397771,0.004105891,0.4005585509775511,0.06231330294842617,0.40055854916638595,1472.5,0.00025524705,0.024202134,0.0018890402,0.026568875
3393741,1.1398327,9.996608e-06,0.0,0.035994586,0.0040611443,0.27242911906884704,0.05557504574288473,0.2724291209061696,1285.4848484848485,0.00042872044,0.023818733,0.0020574974,0.026059616
3394741,1.1398437,9.996608e-06,0.0,0.022840964,0.004281091,0.06628742176672392,0.049050653576226226,0.06628742028442106,1155.9756097560976,0.0005144582,0.023481138,0.0019731643,0.026024988
3395741,1.1398765,9.996605e-06,0.0,0.020712182,0.0043267542,-0.04633132763140436,0.04346289307411228,-0.04633132760247634,1022.9142857142857,0.0005926873,0.023266843,0.0020617333,0.025198847
3396742,1.1398075,9.996605e-06,0.0,0.024164608,0.0042318203,0.0490069136319921,0.04859597850927936,0.04900691101345522,1154.1842105263158,0.00040927454,0.022563675,0.0019645372,0.024815116
3397741,1.1397278,9.996602e-06,0.0,0.030290863,0.004326748,0.25972057169701657,0.053050716716825264,0.25972057020549033,1256.625,0.00073088234,0.020910941,0.0020931433,0.02541252
3398741,1.1397619,9.9966e-06,0.0,0.031717513,0.004434375,0.30251610194480033,0.05646483834910517,0.3025160956330384,1295.3055555555557,0.00056135125,0.02282051,0.002153001,0.025522988
3399741,1.1397656,9.9966e-06,0.0,0.024685934,0.0041434234,0.13579757815925406,0.0485181322414428,0.13579757821712232,1134.12,0.00044298085,0.023929454,0.0019396022,0.024417132
3400741,1.1397274,9.996598e-06,0.0,0.018477773,0.004139788,0.053955563389683596,0.04862325612889804,0.05395556513865235,1130.1351351351352,0.0005487245,0.024204958,0.0020147716,0.024432352
3401741,1.1397386,9.996598e-06,0.0,0.029443268,0.004287567,0.24205802183249034,0.05198317722417414,0.2420580183586403,1209.04,0.00036409343,0.022401033,0.0019861686,0.025718803
3402741,1.1397793,9.996596e-06,0.0,0.025332902,0.004145229,0.22698707175617241,0.04737002124985386,0.22698707056252998,1129.2894736842106,0.0004527928,0.024149088,0.002008387,0.024836846
3403742,1.1397246,9.996597e-06,0.0,0.030687975,0.0040484667,0.3035276149171945,0.056837542614500434,0.30352761365967335,1329.2857142857142,0.00025930672,0.023423309,0.0020558166,0.0262674
3404741,1.1396492,9.996596e-06,0.0,0.026310233,0.0042360523,0.06805803390034271,0.04924715695051418,0.06805803417888148,1166.78125,0.00055139395,0.023461921,0.001973339,0.026893942
3405742,1.1396606,9.996596e-06,0.0,0.03358175,0.00422674,0.2609659618610749,0.053598552260154975,0.2609659626993273,1319.15625,0.00021465716,0.021886159,0.0020219623,0.025898073
3406741,1.139561,9.996593e-06,0.0,0.016716816,0.0042146333,-0.04805215781768008,0.045579813107744685,-0.04805216203181472,1081.9333333333334,0.000573996,0.023640988,0.0020095052,0.02514993
3407741,1.1395146,9.996593e-06,0.0,0.003907732,0.0039824033,-0.22532579796696903,0.039935911495430285,-0.22532579443886291,934.3823529411765,0.0007120989,0.022278626,0.0018204376,0.025557708
3408741,1.1395247,9.996592e-06,0.0,0.015769614,0.004183421,-0.031737433561134176,0.047697507469873765,-0.031737425976949556,1143.9117647058824,0.0007007631,0.023421958,0.001982713,0.027322397
3409741,1.1394987,9.996589e-06,0.0,0.018466737,0.004191103,0.09577684527348058,0.05547371962855227,0.09577684570698515,1375.0526315789473,0.00047533092,0.02548189,0.0018848393,0.02504047
3410741,1.1394998,9.996589e-06,0.0,0.036990535,0.0042019165,0.388883531078136,0.06188841870789474,0.38888353703945144,1479.46875,0.00021942201,0.020548068,0.001983514,0.025751932
3411742,1.1395179,9.996588e-06,0.0,0.01388947,0.0040190886,0.04609550377416953,0.04679144231124303,0.04609549963009934,1132.081081081081,0.00092375785,0.021559231,0.0018758093,0.027170451
3412742,1.1395081,9.996586e-06,0.0,0.020139499,0.004231957,0.05371280485936344,0.05036065545209567,0.0537128165909048,1231.2916666666667,0.00045336175,0.022772625,0.0020834417,0.026533812
3413741,1.1394871,9.9965855e-06,0.0,0.017729256,0.0044716154,-0.1407933030592782,0.04338581511416496,-0.14079330529738251,1050.2051282051282,0.0005920983,0.024235269,0.0020204852,0.025983306
3414741,1.1394551,9.9965855e-06,0.0,0.009371139,0.004465259,-0.09243690072691273,0.044312850912505454,-0.09243689818743508,1088.8163265306123,0.0006979825,0.022734419,0.0020070886,0.026872467
3415741,1.139459,9.996584e-06,0.0,0.009183247,0.0041539622,0.009632102788600605,0.04706321950236868,0.009632090837626237,1140.107142857143,0.00071457285,0.023980316,0.0018113982,0.026356036
3416742,1.1394202,9.996584e-06,0.0,0.01972933,0.003999696,0.217057674260879,0.060170377199365584,0.21705768106640877,1535.5925925925926,0.00053696515,0.025076684,0.0018683767,0.026748879
3417742,1.1393149,9.996584e-06,0.0,0.0066474904,0.0042119203,-0.17404282364097182,0.042089962734010174,-0.1740428173567644,1028.1891891891892,0.00078169134,0.022797018,0.0019868584,0.025861248
3418742,1.1392231,9.996582e-06,0.0,0.016842598,0.004249615,-0.06525707248339827,0.046919813710059426,-0.06525707316174675,1121.9117647058824,0.0007522943,0.020119721,0.002081221,0.025550812
3419742,1.1391672,9.996582e-06,0.0,0.024090938,0.004193626,0.17841301133663173,0.04844135316670872,0.17841300991062536,1184.921052631579,0.00057801895,0.023828894,0.0019611998,0.024249362
3420741,1.1390568,9.996581e-06,0.0,0.023200024,0.0041277525,0.0998207894395039,0.05134154878989128,0.09982078296987495,1261.4857142857143,0.000785761,0.021340128,0.0020398162,0.025209341
3421741,1.1390251,9.996578e-06,0.0,0.016270433,0.00414023,-0.07789359730794905,0.047901318876740887,-0.07789359344959527,1128.4347826086957,0.0010126397,0.023205338,0.0019283047,0.026314791
3422741,1.1390725,9.996578e-06,0.0,0.018771756,0.004162638,0.08049542187458232,0.05251458852639976,0.08049542302373142,1264.4864864864865,0.00043803456,0.021184692,0.0020031987,0.026124198
3423741,1.1390903,9.996578e-06,0.0,0.0171353,0.0041681803,0.2210505844508905,0.05710983786823066,0.22105058059039862,1390.3478260869565,0.00030258196,0.026218016,0.0018588597,0.02587868
3424742,1.1390564,9.9965755e-06,0.0,0.010196089,0.003964448,-0.0172739608957532,0.04759799045277759,-0.017273957503192605,1184.942857142857,0.00042482984,0.022004304,0.0018298955,0.02515088
3425741,1.1390729,9.996574e-06,0.0,0.023617523,0.003932019,0.08512096653243394,0.04888490365618574,0.08512096103271938,1220.8857142857144,0.00043914444,0.024177637,0.0019532251,0.026740652
3426741,1.1391052,9.996573e-06,0.0,0.022324547,0.0041431133,0.07788049485483302,0.04882425095451794,0.07788049768728071,1188.4594594594594,0.0008254391,0.024545526,0.00213446,0.025149008
3427741,1.1390635,9.996571e-06,0.0,0.023664944,0.004395386,0.026161149149023306,0.0461980338723427,0.026161137189175347,1098.6969696969697,0.00088790443,0.023294136,0.0021520117,0.025536574
3428741,1.1390083,9.996571e-06,0.0,0.03428077,0.0043246015,0.3894472697725827,0.06302651434920595,0.38944726870695395,1526.0357142857142,0.00038088494,0.022255355,0.0020147061,0.02431009
3429741,1.1389259,9.996571e-06,0.0,0.025338057,0.004155698,0.1655540783667675,0.05181813013587089,0.16555408053530846,1201.09375,0.00039461852,0.020821212,0.0020021498,0.025056478
3430742,1.1388729,9.996569e-06,0.0,0.029893601,0.0040693856,0.25490628709949015,0.06166019932659823,0.25490628141717087,1462.5806451612902,0.0004530584,0.024657931,0.0019764784,0.025236683
3431741,1.1388417,9.996568e-06,0.0,0.017749531,0.0041324077,0.1388478099133526,0.05067499845797472,0.13884780777073139,1186.037037037037,0.0008981907,0.021586962,0.0020312523,0.024032068
3432742,1.1388204,9.996569e-06,0.0,0.02483474,0.004142677,0.009472945853485727,0.05617476105457172,0.009472940925873878,1313.96,0.00034897513,0.021955883,0.0020428086,0.024818
3433741,1.13876,9.996566e-06,0.0,0.022644492,0.0043168026,-0.007296894883322052,0.04834280520802937,-0.007296899922616515,1127.4615384615386,0.0008739674,0.025703803,0.002047176,0.02375956
3434742,1.1387122,9.996567e-06,0.0,0.023193182,0.004239985,0.1657974794284468,0.05605677141540903,0.16579747888290733,1354.1176470588234,0.0006409794,0.024149537,0.0019579965,0.024216406
3435741,1.1386961,9.996565e-06,0.0,0.034517493,0.0041333754,0.3493118936889611,0.061022276825193934,0.34931189361340326,1422.1,0.00053182564,0.02510241,0.0020918255,0.024235904
