Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4191284,9.9999976e-05,0.0,-0.030690946,0.006126764,0.03488268,0.0070905145,0.024365986,0.09744873,0.13191414,2.7052743,0.39313498,0.6155295,0.4087944,-0.9955455129716448,0.23205430166120022,0.8660358927023094,-0.9955455132457491,250.5132743362832
2000,1.419454,9.9999976e-05,0.0,-0.17051707,0.045030832,0.16100882,0.0040336275,0.026482107,0.03108309,0.032194104,0.61906743,0.20932607,0.7901566,0.3734173,-0.9918732739095357,0.24284941230544307,0.8322550418642943,-0.99187327382011,259.79194630872485
3000,1.4196318,9.999995e-05,0.0,-0.29818308,0.05318281,0.1951523,0.0012806285,0.023229292,0.019840866,0.03220084,0.52372295,0.17273606,0.8276872,0.41010842,-1.000105759973889,0.13337447482708295,0.5785946450700944,-1.0001057574725831,268.4965034965035
4000,1.41957,9.999995e-05,0.0,-0.32124618,0.048717428,0.21954896,0.002749931,0.025643267,0.015276684,0.034047425,0.48864412,0.16319619,0.84168595,0.3875556,-0.9941672872763578,0.09350688572708718,0.5715373908484204,-0.9941672884361729,258.5067567567568
5000,1.4194968,9.999995e-05,0.0,-0.3670165,0.045718454,0.2604733,0.0035018222,0.02418887,0.014678753,0.03671316,0.5490227,0.19167748,0.8209281,0.3359086,-1.0122412107492902,0.07532640422725088,0.5551073086450572,-1.0122412100271638,231.15384615384616
6000,1.4196637,9.999995e-05,0.0,-0.39578646,0.037365127,0.24457794,0.0029170564,0.023456406,0.012599662,0.03631646,0.5154073,0.18420945,0.8364507,0.3256442,-0.9976996672934868,0.05797538139775176,0.4794293241821887,-0.9976996660324692,214.1705882352941
7000,1.4194951,9.999993e-05,0.0,-0.3661355,0.029646695,0.24017325,0.002179378,0.023782974,0.010996096,0.03674099,0.50157833,0.18117881,0.84392273,0.30255133,-1.0107154257507354,0.06020004759531815,0.6079304307886912,-1.0107154264648057,266.5348837209302
8000,1.419018,9.999993e-05,0.0,-0.35278422,0.02777752,0.24117208,0.0021554923,0.024224166,0.010761344,0.036445316,0.52400976,0.18938792,0.8399533,0.34036976,-1.0114725307006946,0.07253941752932723,0.6994428146792371,-1.011472528519924,307.8943089430894
9000,1.4189093,9.9999925e-05,0.0,-0.32403672,0.025147127,0.23512504,0.0026818225,0.026481185,0.009710817,0.036821425,0.5188323,0.18710467,0.8402822,0.2861731,-0.9359453428755748,0.06420698656770242,0.707258326945459,-0.935945342626957,304.42857142857144
10000,1.4189343,9.999992e-05,0.0,-0.32777867,0.022049293,0.23298836,0.0024837598,0.022705384,0.008678213,0.03501781,0.5154738,0.1872628,0.840963,0.29293936,-0.9769457019144884,0.049980941005645596,0.6086686083465709,-0.9769457001211339,264.26241134751774
11000,1.4187855,9.999989e-05,0.0,-0.36141497,0.019498106,0.23561786,0.00236508,0.023004292,0.008081798,0.033869352,0.49667737,0.1807483,0.849377,0.24638607,-0.9746959421713655,0.042910284416090384,0.555324331334781,-0.9746959418488323,254.5297619047619
12000,1.4188093,9.999986e-05,0.0,-0.33576095,0.017319836,0.22378764,0.0028283997,0.022834819,0.0074771727,0.032338597,0.4761578,0.17402333,0.85746855,0.28824475,-0.9507647252574366,0.039948592844060236,0.5243422209581089,-0.9507647291453585,252.29166666666666
13000,1.4189562,9.999986e-05,0.0,-0.3262061,0.015850857,0.22101559,0.002433216,0.023649171,0.0066661676,0.029091153,0.46041915,0.1653443,0.86326265,0.27667743,-0.9312429883161008,0.04056585349821368,0.6096088637843396,-0.9312429929483761,295.11267605633805
14000,1.4181814,9.9999845e-05,0.0,-0.26833218,0.014652651,0.21056761,0.0021229922,0.027501605,0.0059299404,0.026805036,0.4450713,0.16064402,0.8700772,0.29328477,-0.9803935114510328,0.03808034903756509,0.5681229426071306,-0.9803935147352398,283.54464285714283
15000,1.4178388,9.999984e-05,0.0,-0.2761034,0.013563739,0.18838766,0.0020714442,0.027623385,0.004941774,0.025689365,0.40050507,0.1417673,0.8826948,0.25824594,-0.9731913453105328,0.03531909146064407,0.5833872055176043,-0.9731913453632046,345.7310924369748
16000,1.4175494,9.999984e-05,0.0,-0.27654245,0.012493003,0.1843319,0.0019266091,0.022417989,0.004757195,0.024249077,0.38598216,0.13723397,0.8867,0.31972364,-0.9485305828927019,0.03594659871252423,0.6300011892115105,-0.9485305823581381,351.8636363636364
17001,1.418044,9.999983e-05,0.0,-0.26128528,0.012178449,0.17202336,0.0021023687,0.023306634,0.0047985814,0.024030948,0.3778331,0.13254832,0.89195424,0.29185888,-0.9387113634042245,0.03430627280355852,0.5521580723595426,-0.9387113595452289,351.34513274336285
18000,1.418232,9.999983e-05,0.0,-0.25704184,0.0115861315,0.16750613,0.0019541911,0.022211011,0.004493599,0.023429766,0.3776031,0.13218874,0.89070714,0.25814417,-0.9314876332296823,0.03621512053330068,0.5992620508946782,-0.9314876334008749,375.88775510204084
19000,1.4179621,9.999982e-05,0.0,-0.2560862,0.010891063,0.16263294,0.0018868052,0.025605956,0.0042054057,0.024577515,0.3562012,0.12478117,0.8941531,0.29734623,-0.9139680582666188,0.03566469426019764,0.6377612747155766,-0.9139680593615638,416.40816326530614
20000,1.4174187,9.999982e-05,0.0,-0.24584655,0.00933898,0.15537138,0.0022454043,0.020658672,0.003862339,0.024004178,0.34372184,0.11842691,0.89849627,0.2568244,-0.9216702204739771,0.0335818668336644,0.5596810544032932,-0.9216702209420524,398.3529411764706
21000,1.4177618,9.99998e-05,0.0,-0.26660192,0.008684373,0.14687745,0.002260243,0.022580795,0.0037069588,0.02359187,0.3321463,0.11320293,0.9033059,0.07447458058595657,-0.9575880500907213,0.02816392374559116,0.4912597153807938,-0.9575880516390048,363.1388888888889
22000,1.4176704,9.99998e-05,0.0,-0.26315004,0.00819697,0.14505836,0.0021978158,0.023722026,0.0037846675,0.022907533,0.33476037,0.1143984,0.9015138,0.0,-0.9834853270081665,0.02834587783779009,0.5131688258539538,-0.9834853307307335,361.5233644859813
23000,1.4172974,9.999979e-05,0.0,-0.2858538,0.008030312,0.13538411,0.0021978135,0.023159241,0.0034245104,0.022462048,0.31265908,0.10471435,0.90674114,0.0,-0.9268695167586696,0.026388997601219495,0.46638369677922265,-0.9268695191672456,361.6194690265487
24001,1.4171788,9.999974e-05,0.0,-0.25640666,0.0072922306,0.1374224,0.002160754,0.024762202,0.0035613654,0.023566272,0.31789088,0.107431896,0.90593964,0.0,-0.9321314310650015,0.02680014914378228,0.48326971378529915,-0.9321314337419683,357.2429906542056
25000,1.4170492,9.9999736e-05,0.0,-0.26505774,0.007933751,0.1398544,0.002357049,0.022029797,0.0036321408,0.022537366,0.31172252,0.10521932,0.9073237,0.0,-0.9019334684085346,0.025347219002492823,0.43431940364515065,-0.9019334698098332,349.7008547008547
26000,1.4170457,9.9999736e-05,0.0,-0.31097287,0.007331312,0.13183676,0.0024478412,0.023378547,0.0035151432,0.021910893,0.30615538,0.10255294,0.90835166,0.0,-0.9805790343676808,0.024526990797767212,0.41291900765691025,-0.9805790369978353,326.265625
27000,1.4177959,9.999973e-05,0.0,-0.2964609,0.006312631,0.12222624,0.0022743465,0.024874607,0.0031216368,0.019692386,0.2764314,0.09009722,0.9172979,0.0,-0.9050884203973845,0.02394199643106396,0.4213385824499327,-0.9050884167367298,373.90526315789475
28000,1.4180995,9.999973e-05,0.0,-0.2869572,0.0070552444,0.11778502,0.0019086322,0.02315239,0.00312739,0.019287221,0.28276837,0.09531566,0.91554105,0.0,-0.8874891945080908,0.02508363577024541,0.4201231341703349,-0.8874891976766219,381.989898989899
29000,1.4172862,9.9999714e-05,0.0,-0.27844784,0.006629829,0.10765446,0.0017957335,0.025403965,0.0027780258,0.01921908,0.26243088,0.087426625,0.9204583,0.0,-1.0083283754119847,0.024846872065681966,0.46193370095148567,-1.008328376070478,417.05
30000,1.416394,9.9999714e-05,0.0,-0.26135573,0.006067057,0.11173198,0.002192055,0.027432833,0.0029473149,0.02078533,0.2513617,0.08521183,0.9247839,0.0,-0.9969395670027453,0.021629025158978514,0.3751859481985736,-0.9969395685400047,364.32173913043476
31000,1.4158721,9.9999714e-05,0.0,-0.27451566,0.006076909,0.10040515,0.002778893,0.025706656,0.0030596699,0.020495923,0.23858199,0.08097744,0.9292788,0.0,-0.9536203659301132,0.022104776208724166,0.34572435863302525,-0.9536203696796534,346.25233644859816
32000,1.4156201,9.9999714e-05,0.0,-0.26195425,0.0062850555,0.100902,0.0021037883,0.02224299,0.0026817457,0.020154158,0.21905075,0.07525038,0.934378,0.0,-0.924718636195149,0.02146673920409133,0.36056775979695793,-0.9247186354325628,376.3939393939394
33000,1.4146117,9.9999685e-05,0.0,-0.2582604,0.006029239,0.09856775,0.0021075374,0.021582741,0.002770616,0.01947989,0.2179113,0.07802646,0.9359038,0.0,-0.9836538149697867,0.022208462938299187,0.37620244147386145,-0.9836538121083589,397.52884615384613
